fon_kodu,grup,kategori,unvan,fon_buyuklugu
AK2,TEFAS,Uzun Vadeli Borçlanma Araçları,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,222272792.0
YVB,TEFAS,Uzun Vadeli Borçlanma Araçları,YAPI KREDİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,125838374.0
APJ,TEFAS,Endeks Temalı Fonlar,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,80272479.0
OJT,TEFAS,Teknoloji,QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU,4571657908.0
IJC,TEFAS,Teknoloji,İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,3979985963.0
GBV,TEFAS,Teknoloji,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,2187244317.0
GZE,TEFAS,Emtia Fonları,GARANTİ PORTFÖY EMTİA SERBEST FON,1767719015.0
GBZ,TEFAS,Emtia Fonları,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,1166807908.0
OVD,TEFAS,Emtia Fonları,QNB PORTFÖY EMTİA FON SEPETİ FONU,904046605.0
DCB,TEFAS,Serbest Para Piyasası Fonları,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,132978443944.0
PPJ,TEFAS,Serbest Para Piyasası Fonları,AK PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,64907174415.0
DIP,TEFAS,Serbest Para Piyasası Fonları,DENİZ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,55214410292.0
KVS,TEFAS,Kısa Vadeli,AZİMUT PORTFÖY KISA VADELİ SERBEST (TL) FON,19565743547.0
KSA,TEFAS,Kısa Vadeli,HEDEF PORTFÖY KISA VADELİ SERBEST (TL) FON,12549991345.0
PKV,TEFAS,Kısa Vadeli,PARDUS PORTFÖY KISA VADELİ SERBEST (TL) FON,12496826223.0
IJT,TEFAS,Tarım - Gıda,İŞ PORTFÖY TARIM SERBEST FON,1250452425.0
GZL,TEFAS,Tarım - Gıda,GARANTİ PORTFÖY TARIM VE GIDA SEKTÖRÜ DEGİŞKEN FON,383610547.0
TVE,TEFAS,Tarım - Gıda,EMAA BLUE PORTFÖY TARIM VE GIDA SEKTÖRÜ KATILIM FONU,219088319.0
IKP,TEFAS,Sürdürülebilirlik,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,1027724586.0
GZH,TEFAS,Sürdürülebilirlik,GARANTİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FON,346455996.0
YJH,TEFAS,Sürdürülebilirlik,YAPI KREDİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FON,182000060.0
IOG,TEFAS,Gümüş Fonları,İŞ PORTFÖY GÜMÜŞ SERBEST FON,13241240769.0
GTZ,TEFAS,Gümüş Fonları,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,12407303623.0
FMG,TEFAS,Gümüş Fonları,QNB PORTFÖY GÜMÜŞ SERBEST FON,12176129957.0
KTV,TEFAS,Kira Sertifikaları,KUVEYT TÜRK PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,38494969962.0
RBV,TEFAS,Kira Sertifikaları,ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,9645711532.0
VKV,TEFAS,Kira Sertifikaları,VAKIF KATILIM PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,9026156702.0
KPD,TEFAS,Kar Payı Ödeyen Fonlar,KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM SERBEST (DÖViZ) FON,304629847.0
FBC,TEFAS,Kar Payı Ödeyen Fonlar,ONE PORTFÖY KAR PAYI ÖDEYEN KATILIM FONU,175565481.0
NKP,TEFAS,Kar Payı Ödeyen Fonlar,NEO PORTFÖY KAR PAYI ÖDEYEN DEĞİŞKEN FON,147263924.0
EPI,TEFAS,Tematik,EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU,261274723.0
TGR,TEFAS,Tematik,AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,101190289.0
GZY,TEFAS,Tematik,GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEGİŞKEN FON,62601017.0
IKL,TEFAS,Sağlık - İlaç,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,253796081.0
YSO,TEFAS,Sağlık - İlaç,YAPI KREDİ PORTFÖY SAĞLIK SEKTÖRÜ SERBEST FON,94188745.0
SSK,TEFAS,Sağlık - İlaç,DENİZ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,45323502.0
YBE,TEFAS,Eurobond Borçlanma Araçları,YAPI KREDİ PORTFÖY EUROBOND (DOLAR) BORÇLANMA ARAÇLARI FONU,4964431164.0
YNK,TEFAS,Kar Payı Ödeyen Fonlar (Döviz),YAPI KREDİ PORTFÖY NİŞANTAŞI KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,20240876767.0
VGZ,BEFAS_islem_goren,OKS Standart Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,9793221082.0
GCS,BEFAS_islem_goren,OKS Standart Fon,GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,8080969446.0
AFH,BEFAS_islem_goren,OKS Standart Fon,ANADOLU HAYAT EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,8071471103.0
GMF,BEFAS_islem_goren,Fon Sepeti Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. GÜMÜŞ FON SEPETİ EMEKLİLİK YATIRIM FONU,20012061150.0
ABE,BEFAS_islem_goren,Fon Sepeti Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. S&P 500 YABANCI BYF FON SEPETİ EMEKLİLİK YATIRIM FONU,9735239086.0
GGJ,BEFAS_islem_goren,Fon Sepeti Fonu,GARANTİ EMEKLİLİK VE HAYAT A.Ş. GÜMÜŞ FON SEPETİ EMEKLİLİK YATIRIM FONU,8639909476.0
VES,BEFAS_islem_goren,Borçlanma Araçları Fonu,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,11893127711.0
AE2,BEFAS_islem_goren,Borçlanma Araçları Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,7685440595.0
AZK,BEFAS_islem_goren,Borçlanma Araçları Fonu,ALLIANZ HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,7545791141.0
AVR,BEFAS_islem_goren,Değişken Fon,AGESA HAYAT VE EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ YABANCI DEĞİŞKEN EMEKLİLİK YATIRIM FONU,20581131961.0
ZHE,BEFAS_islem_goren,Değişken Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,13506821116.0
GHO,BEFAS_islem_goren,Değişken Fon,GARANTİ EMEKLİLİK VE HAYAT A.Ş. ÜÇÜNCÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,12483923375.0
VGA,BEFAS_islem_goren,Altın Katılım Fonu,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,249607302920.0
GEV,BEFAS_islem_goren,Altın Katılım Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,174325938047.0
GHA,BEFAS_islem_goren,Altın Katılım Fonu,GARANTİ EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,118803507971.0
AZH,BEFAS_islem_goren,Hisse Senedi Fonu,ALLIANZ HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,29168644284.0
AH5,BEFAS_islem_goren,Hisse Senedi Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,25107527092.0
AEH,BEFAS_islem_goren,Hisse Senedi Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,22493022738.0
ALI,BEFAS_islem_goren,Endeks Fon,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KOÇ İŞTİRAK ENDEKSİ EMEKLİLİK YATIRIM FONU,7388919177.0
ATE,BEFAS_islem_goren,Endeks Fon,ANADOLU HAYAT EMEKLİLİK A.Ş. İŞ BANKASI İŞTİRAK ENDEKSİ EMEKLİLİK YATIRIM FONU,3530978613.0
AEU,BEFAS_islem_goren,Endeks Fon,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BIST TEMETTÜ ENDEKSİ EMEKLİLİK YATIRIM FONU,1488203438.0
VGK,BEFAS_islem_goren,OKS Katılım Standart Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU,38972104700.0
AFP,BEFAS_islem_goren,OKS Katılım Standart Fon,ANADOLU HAYAT EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU,7001433027.0
GCK,BEFAS_islem_goren,OKS Katılım Standart Fon,GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU,5650451569.0
KEB,BEFAS_islem_goren,Katılım Standart Fon,KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU,5510775095.0
VGB,BEFAS_islem_goren,Katılım Standart Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU,3994601551.0
AGE,BEFAS_islem_goren,Katılım Standart Fon,ANADOLU HAYAT EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU,1885982835.0
AH3,BEFAS_islem_goren,Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç,ANADOLU HAYAT EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,13067018113.0
VET,BEFAS_islem_goren,Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,12902496551.0
AMG,BEFAS_islem_goren,Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,7358897056.0
ALR,BEFAS_islem_goren,Karma Fon,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU,14753253278.0
AH8,BEFAS_islem_goren,Karma Fon,ANADOLU HAYAT EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU,12176769493.0
AZD,BEFAS_islem_goren,Karma Fon,ALLIANZ HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ KARMA EMEKLİLİK YATIRIM FONU,9851985678.0
AHC,BEFAS_islem_goren,Özel Sektör Borçlanma Araçları Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,16717371072.0
AVO,BEFAS_islem_goren,Özel Sektör Borçlanma Araçları Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,9763435224.0
FEA,BEFAS_islem_goren,Özel Sektör Borçlanma Araçları Fonu,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. ATLAS PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,244952747.0
VEO,BEFAS_islem_goren,Katılım Değişken Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU,4510627668.0
VGH,BEFAS_islem_goren,Katılım Değişken Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS  ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU,2695591540.0
VEB,BEFAS_islem_goren,Katılım Değişken Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,1957773223.0
AMZ,BEFAS_islem_goren,Altın Fonu,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,142840568335.0
BGL,BEFAS_islem_goren,Altın Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,68881168017.0
NHA,BEFAS_islem_goren,Altın Fonu,ZURİCH YAŞAM VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,22638705848.0
VEK,BEFAS_islem_goren,Standart Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU,7811204454.0
GHD,BEFAS_islem_goren,Standart Fon,GARANTİ EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU,3930835915.0
ATK,BEFAS_islem_goren,Standart Fon,ANADOLU HAYAT EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU,3220180325.0
AVB,BEFAS_islem_goren,Dış Borçlanma Araçları Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 5-15 YIL VADELİ) EMEKLİLİK YATIRIM FONU,15828414453.0
AVG,BEFAS_islem_goren,Dış Borçlanma Araçları Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,10375113129.0
GHG,BEFAS_islem_goren,Dış Borçlanma Araçları Fonu,GARANTİ EMEKLİLİK VE HAYAT A.Ş. DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,5883246125.0
EMY,BEFAS_islem_goren,Belirtilmemiş,GARANTİ EMEKLİLİK VE HAYAT A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,6626652190.0
KLV,BEFAS_islem_goren,Belirtilmemiş,KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM KARMA EMEKLİLİK YATIRIM FONU,119192405.0
TNE,BEFAS_islem_goren,Belirtilmemiş,GARANTİ EMEKLİLİK VE HAYAT A.Ş. TEMİZ ENERJİ SEKTÖRÜ HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,65347911.0
GKB,BEFAS_islem_goren,Kira Sertifikasi Katılım Fonu,GARANTİ EMEKLİLİK VE HAYAT A.Ş. KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU,2822752149.0
THK,BEFAS_islem_goren,Kira Sertifikasi Katılım Fonu,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU,2041473618.0
ZHD,BEFAS_islem_goren,Kira Sertifikasi Katılım Fonu,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU,1930523983.0
KJM,BEFAS_islem_goren,Katılım Fonu,KATILIM EMEKLİLİK VE HAYAT A.Ş. KIYMETLİ MADENLER KATILIM EMEKLİLİK YATIRIM FONU,6457267323.0
KGC,BEFAS_islem_goren,Katılım Fonu,KATILIM EMEKLİLİK VE HAYAT A.Ş. GÜMÜŞ KATILIM EMEKLİLİK YATIRIM FONU,2704761363.0
KSH,BEFAS_islem_goren,Katılım Fonu,KATILIM EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ KATILIM EMEKLİLİK YATIRIM FONU,927303599.0
KHL,BEFAS_islem_goren,Katılım Hisse Senedi Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,353547617.0
VGD,BEFAS_islem_goren,Kıymetli Madenler,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KIYMETLİ MADENLER KATILIM EMEKLİLİK YATIRIM FONU,21401359897.0
KML,BEFAS_islem_goren,Kıymetli Madenler,AGESA HAYAT VE EMEKLİLİK A.Ş. KIYMETLİ MADENLER EMEKLİLİK YATIRIM FONU,17852700186.0
KMP,BEFAS_islem_goren,Kıymetli Madenler,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KIYMETLİ MADENLER EMEKLİLİK YATIRIM FONU,359399157.0
MDE,BEFAS_islem_goren,Merkezi Alacağın Devri Fonu,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. MERKEZİ ALACAĞIN DEVRİ TEMKİNLİ DEĞİŞKEN EYF,243223695.0
MDD,BEFAS_islem_goren,Merkezi Alacağın Devri Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. MERKEZİ ALACAĞIN DEVRİ DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,233867089.0
TMN,BEFAS_islem_goren,Merkezi Alacağın Devri Fonu,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. MERKEZİ ALACAĞIN DEVRİ DENGELİ KATILIM DEĞİŞKEN EYF,217474712.0
TJY,BEFAS_islem_goren,Yaşam Döngüsü/Hedef Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. ÜÇÜNCÜ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU,444407695.0
TYJ,BEFAS_islem_goren,Yaşam Döngüsü/Hedef Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. İKİNCİ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU,132409032.0
TML,BEFAS_islem_goren,Yaşam Döngüsü/Hedef Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU,127351074.0
ZHG,BEFAS_islem_goren,Kamu Borçlanma Araçları Fonu,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,4098880932.0
VKE,BEFAS_klasik,Başlangıç Katılım Fonu,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,4268690546.0
GDV,BEFAS_klasik,Başlangıç Katılım Fonu,GARANTİ EMEKLİLİK VE HAYAT A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1294533215.0
AO2,BEFAS_klasik,Başlangıç Katılım Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,891619159.0
GEL,BEFAS_klasik,Para Piyasası Fonu,GARANTİ EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,112399611333.0
AZL,BEFAS_klasik,Para Piyasası Fonu,ALLIANZ HAYAT VE EMEKLİLİK A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,98532977290.0
AE1,BEFAS_klasik,Para Piyasası Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ PARA PİYASASI EMEKLİLİK YATIRIM FONU,75271809732.0
AH0,BEFAS_klasik,Değişken Fon,ANADOLU HAYAT EMEKLİLİK A.Ş. ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,6261073660.0
HHE,BEFAS_klasik,Değişken Fon,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,4121132936.0
KOE,BEFAS_klasik,Değişken Fon,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KOÇ HOLDİNG EMEKLİ VAKFI BİRİNCİ DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,3931004151.0
GEG,BEFAS_klasik,Hisse Senedi Fonu,GARANTİ EMEKLİLİK VE HAYAT A.Ş. HİSSE SENEDİ GRUP EMEKLİLİK YATIRIM FONU,3867982792.0
AEB,BEFAS_klasik,Hisse Senedi Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ GRUP EMEKLİLİK YATIRIM FONU,2594906994.0
AG3,BEFAS_klasik,Hisse Senedi Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. HİSSE SENEDİ GRUP EMEKLİLİK YATIRIM FONU,2364439472.0
AEI,BEFAS_klasik,Devlet Katkısı Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,54042500984.0
VEI,BEFAS_klasik,Devlet Katkısı Fonu,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,53724796149.0
AET,BEFAS_klasik,Devlet Katkısı Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,52001413328.0
AEK,BEFAS_klasik,Borçlanma Araçları Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,781058214.0
GHF,BEFAS_klasik,Borçlanma Araçları Fonu,GARANTİ EMEKLİLİK VE HAYAT A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,748353864.0
AG1,BEFAS_klasik,Borçlanma Araçları Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,460368146.0
AEL,BEFAS_klasik,Belirtilmemiş,AGESA HAYAT VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,76015050156.0
NHO,BEFAS_klasik,Belirtilmemiş,NN HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,227083794.0
NHR,BEFAS_klasik,Belirtilmemiş,NN HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU,119227418.0
