fon_kodu,unvan,risk_seviyesi,yonetim_ucreti,pys,kategori,fon_buyuklugu,yatirimci_sayisi
AER,ANADOLU HAYAT EMEKLİLİK A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,3,0.35,ANADOLU HAYAT EMEKLİLİK A.Ş.,Katılım Katkı Fonu,2448352406,573034
AET,ANADOLU HAYAT EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,5,0.35,ANADOLU HAYAT EMEKLİLİK A.Ş.,Devlet Katkısı Fonu,52001413328,2331227
AEY,VIENNALIFE EMEKLİLİK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU,5,0.274,VIENNALIFE EMEKLİLİK VE HAYAT A.Ş.,Devlet Katkısı Fonu,57547661,4486
AG1,ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,3,0.99,ANADOLU HAYAT EMEKLİLİK A.Ş.,Borçlanma Araçları Fonu,460368146,8241
AG2,ANADOLU HAYAT EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,5,0.99,ANADOLU HAYAT EMEKLİLİK A.Ş.,Borçlanma Araçları Fonu,150909037,1620
AG3,ANADOLU HAYAT EMEKLİLİK A.Ş. HİSSE SENEDİ GRUP EMEKLİLİK YATIRIM FONU,6,0.99,ANADOLU HAYAT EMEKLİLİK A.Ş.,Hisse Senedi Fonu,2364439472,21563
AG4,ANADOLU HAYAT EMEKLİLİK A.Ş. TEMKİNLİ DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,2,0.99,ANADOLU HAYAT EMEKLİLİK A.Ş.,Değişken Fon,1624038207,14668
AGG,BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,6,1.46,BEREKET EMEKLİLİK VE HAYAT A.Ş.,Değişken Fon,314916650,32626
AGT,BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,4,0.347,BEREKET EMEKLİLİK VE HAYAT A.Ş.,Katılım Katkı Fonu,950748461,102204
AH0,ANADOLU HAYAT EMEKLİLİK A.Ş. ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,5,2.2,ANADOLU HAYAT EMEKLİLİK A.Ş.,Değişken Fon,6261073660,88426
